location,Day
Afghanistan,112
Albania,98
Algeria,115
Andorra,104
Angola,85
Anguilla,80
Antigua and Barbuda,96
Argentina,103
Armenia,105
Aruba,77
Australia,141
Austria,111
Azerbaijan,108
Bahamas,91
Bahrain,115
Bangladesh,98
Barbados,89
Belarus,108
Belgium,132
Belize,59
Benin,90
Bermuda,72
Bhutan,100
Bolivia,96
Bonaire Sint Eustatius and Saba,101
Bosnia and Herzegovina,78
Botswana,111
Brazil,97
British Virgin Islands,97
Brunei,77
Bulgaria,97
Burkina Faso,75
Burundi,139
Cambodia,154
Cameroon,100
Canada,144
Cape Verde,86
Cayman Islands,108
Central African Republic,86
Chad,87
Chile,103
China,196
Colombia,100
Comoros,54
Congo,92
Costa Rica,114
Cote d'Ivoire,95
Croatia,111
Cuba,112
Curacao,107
Cyprus,97
Czech Republic,105
Democratic Republic of Congo,96
Denmark,109
Djibouti,92
Dominica,84
Dominican Republic,105
Ecuador,122
Egypt,122
El Salvador,88
Equatorial Guinea,88
Eritrea,64
Estonia,109
Ethiopia,93
Faeroe Islands,118
Falkland Islands,88
Fiji,87
Finland,138
France,142
French Polynesia,109
Gabon,94
Gambia,89
Georgia,110
Germany,139
Ghana,94
Gibraltar,116
Greece,110
Greenland,105
Grenada,84
Guam,105
Guatemala,93
Guernsey,111
Guinea,93
Guinea-Bissau,81
Guyana,95
Haiti,87
Honduras,96
Hungary,102
Iceland,108
India,136
Indonesia,104
Iran,117
Iraq,105
Ireland,107
Isle of Man,101
Israel,115
Italy,136
Jamaica,96
Japan,150
Jersey,111
Jordan,104
Kazakhstan,94
Kenya,93
Kosovo,108
Kuwait,81
Kyrgyzstan,88
Laos,90
Latvia,104
Lebanon,115
Lesotho,34
Liberia,90
Libya,82
Liechtenstein,103
Lithuania,108
Luxembourg,107
Macedonia,110
Madagascar,86
Malawi,74
Malaysia,141
Maldives,99
Mali,81
Malta,99
Mauritania,93
Mauritius,115
Mexico,101
Moldova,99
Monaco,107
Mongolia,96
Montenegro,89
Montserrat,102
Morocco,104
Mozambique,84
Myanmar,59
Namibia,95
Nepal,161
Netherlands,109
New Caledonia,102
New Zealand,108
Nicaragua,88
Niger,87
Nigeria,109
Northern Mariana Islands,92
Norway,110
Oman,112
Pakistan,110
Palestine,106
Panama,97
Papua New Guinea,65
Paraguay,99
Peru,100
Philippines,136
Poland,102
Portugal,104
Puerto Rico,107
Qatar,109
Romania,110
Russia,136
Rwanda,92
Saint Kitts and Nevis,81
Saint Lucia,93
Saint Vincent and the Grenadines,93
San Marino,109
Sao Tome and Principe,70
Saudi Arabia,104
Senegal,104
Serbia,100
Seychelles,94
Sierra Leone,76
Singapore,143
Sint Maarten (Dutch part),103
Slovakia,100
Slovenia,102
Somalia,90
South Africa,105
South Korea,146
South Sudan,71
Spain,151
Sri Lanka,139
Sudan,93
Suriname,93
Swaziland,92
Sweden,142
Switzerland,111
Syria,84
Taiwan,160
Tajikistan,55
Tanzania,90
Thailand,153
Timor,85
Togo,100
Trinidad and Tobago,94
Tunisia,83
Turkey,95
Turks and Caicos Islands,98
Uganda,86
Ukraine,103
United Arab Emirates,137
United Kingdom,136
United States,153
United States Virgin Islands,107
Uruguay,93
Uzbekistan,91
Vatican,116
Venezuela,93
Vietnam,143
Western Sahara,26
Yemen,66
Zambia,88
Zimbabwe,86
